[logic] [22:04:20.700] [info] Buffer cleared!
[logic] [22:04:20.702] [info] Update State!
[logic] [22:04:20.743] [info] Buffer cleared!
[logic] [22:04:20.743] [info] Update State!
[logic] [22:04:20.804] [info] Buffer cleared!
[logic] [22:04:20.804] [info] Update State!
[logic] [22:04:20.852] [info] Buffer cleared!
[logic] [22:04:20.852] [info] Update State!
[logic] [22:04:20.899] [info] Buffer cleared!
[logic] [22:04:20.899] [info] Update State!
[logic] [22:04:20.946] [info] Buffer cleared!
[logic] [22:04:20.946] [info] Update State!
[logic] [22:04:21.010] [info] Buffer cleared!
[logic] [22:04:21.010] [info] Update State!
[logic] [22:04:21.055] [info] Buffer cleared!
[logic] [22:04:21.055] [info] Update State!
[logic] [22:04:21.101] [info] Buffer cleared!
[logic] [22:04:21.101] [info] Update State!
[logic] [22:04:21.146] [info] Buffer cleared!
[logic] [22:04:21.147] [info] Update State!
[logic] [22:04:21.194] [info] Buffer cleared!
[logic] [22:04:21.194] [info] Update State!
[logic] [22:04:21.258] [info] Buffer cleared!
[logic] [22:04:21.259] [info] Update State!
[logic] [22:04:21.306] [info] Buffer cleared!
[logic] [22:04:21.308] [info] Update State!
[logic] [22:04:21.351] [info] Buffer cleared!
[logic] [22:04:21.352] [info] Update State!
[logic] [22:04:21.413] [info] Buffer cleared!
[logic] [22:04:21.413] [info] Update State!
[logic] [22:04:21.459] [info] Buffer cleared!
[logic] [22:04:21.460] [info] Update State!
[logic] [22:04:21.507] [info] Buffer cleared!
[logic] [22:04:21.510] [info] Update State!
[logic] [22:04:21.553] [info] Buffer cleared!
[logic] [22:04:21.554] [info] Update State!
[logic] [22:04:21.598] [info] Buffer cleared!
[logic] [22:04:21.598] [info] Update State!
[logic] [22:04:21.660] [info] Buffer cleared!
[logic] [22:04:21.660] [info] Update State!
[logic] [22:04:21.706] [info] Buffer cleared!
[logic] [22:04:21.706] [info] Update State!
[logic] [22:04:21.758] [info] Buffer cleared!
[logic] [22:04:21.760] [info] Update State!
[logic] [22:04:21.785] [info] Buffer cleared!
[logic] [22:04:21.785] [info] Update State!
[logic] [22:04:21.847] [info] Buffer cleared!
[logic] [22:04:21.847] [info] Update State!
[logic] [22:04:21.894] [info] Buffer cleared!
[logic] [22:04:21.894] [info] Update State!
[logic] [22:04:21.940] [info] Buffer cleared!
[logic] [22:04:21.940] [info] Update State!
[logic] [22:04:22.002] [info] Buffer cleared!
[logic] [22:04:22.002] [info] Update State!
[logic] [22:04:22.049] [info] Buffer cleared!
[logic] [22:04:22.049] [info] Update State!
[logic] [22:04:22.095] [info] Buffer cleared!
[logic] [22:04:22.096] [info] Update State!
[logic] [22:04:22.143] [info] Buffer cleared!
[logic] [22:04:22.144] [info] Update State!
[logic] [22:04:22.190] [info] Buffer cleared!
[logic] [22:04:22.190] [info] Update State!
[logic] [22:04:22.251] [info] Buffer cleared!
[logic] [22:04:22.252] [info] Update State!
[logic] [22:04:22.297] [info] Buffer cleared!
[logic] [22:04:22.299] [info] Update State!
[logic] [22:04:22.345] [info] Buffer cleared!
[logic] [22:04:22.345] [info] Update State!
[logic] [22:04:22.392] [info] Buffer cleared!
[logic] [22:04:22.392] [info] Update State!
[logic] [22:04:22.439] [info] Buffer cleared!
[logic] [22:04:22.439] [info] Update State!
[logic] [22:04:22.501] [info] Buffer cleared!
[logic] [22:04:22.501] [info] Update State!
[logic] [22:04:22.549] [info] Buffer cleared!
[logic] [22:04:22.549] [info] Update State!
[logic] [22:04:22.597] [info] Buffer cleared!
[logic] [22:04:22.599] [info] Update State!
[logic] [22:04:22.643] [info] Buffer cleared!
[logic] [22:04:22.643] [info] Update State!
[logic] [22:04:22.690] [info] Buffer cleared!
[logic] [22:04:22.690] [info] Update State!
[logic] [22:04:22.753] [info] Buffer cleared!
[logic] [22:04:22.757] [info] Update State!
[logic] [22:04:22.798] [info] Buffer cleared!
[logic] [22:04:22.798] [info] Update State!
[logic] [22:04:22.845] [info] Buffer cleared!
[logic] [22:04:22.845] [info] Update State!
[logic] [22:04:22.891] [info] Buffer cleared!
[logic] [22:04:22.892] [info] Update State!
[logic] [22:04:22.937] [info] Buffer cleared!
[logic] [22:04:22.938] [info] Update State!
[logic] [22:04:22.999] [info] Buffer cleared!
[logic] [22:04:23.000] [info] Update State!
[logic] [22:04:23.044] [info] Buffer cleared!
[logic] [22:04:23.044] [info] Update State!
[logic] [22:04:23.089] [info] Buffer cleared!
[logic] [22:04:23.090] [info] Update State!
[logic] [22:04:23.153] [info] Buffer cleared!
[logic] [22:04:23.154] [info] Update State!
[logic] [22:04:23.186] [info] Buffer cleared!
[logic] [22:04:23.187] [info] Update State!
[logic] [22:04:23.247] [info] Buffer cleared!
[logic] [22:04:23.247] [info] Update State!
[logic] [22:04:23.294] [info] Buffer cleared!
[logic] [22:04:23.295] [info] Update State!
[logic] [22:04:23.364] [info] Buffer cleared!
[logic] [22:04:23.364] [info] Update State!
[logic] [22:04:23.406] [info] Buffer cleared!
[logic] [22:04:23.406] [info] Update State!
[logic] [22:04:23.436] [info] Buffer cleared!
[logic] [22:04:23.436] [info] Update State!
[logic] [22:04:23.500] [info] Buffer cleared!
[logic] [22:04:23.501] [info] Update State!
[logic] [22:04:23.545] [info] Buffer cleared!
[logic] [22:04:23.546] [info] Update State!
[logic] [22:04:23.592] [info] Buffer cleared!
[logic] [22:04:23.594] [info] Update State!
[logic] [22:04:23.636] [info] Buffer cleared!
[logic] [22:04:23.636] [info] Update State!
[logic] [22:04:23.697] [info] Buffer cleared!
[logic] [22:04:23.697] [info] Update State!
[logic] [22:04:23.760] [info] Buffer cleared!
[logic] [22:04:23.760] [info] Update State!
[logic] [22:04:23.806] [info] Buffer cleared!
[logic] [22:04:23.806] [info] Update State!
[logic] [22:04:23.851] [info] Buffer cleared!
[logic] [22:04:23.852] [info] Update State!
[logic] [22:04:23.899] [info] Buffer cleared!
[logic] [22:04:23.900] [info] Update State!
[logic] [22:04:23.946] [info] Buffer cleared!
[logic] [22:04:23.946] [info] Update State!
[logic] [22:04:24.009] [info] Buffer cleared!
[logic] [22:04:24.009] [info] Update State!
[logic] [22:04:24.057] [info] Buffer cleared!
[logic] [22:04:24.057] [info] Update State!
[logic] [22:04:24.103] [info] Buffer cleared!
[logic] [22:04:24.103] [info] Update State!
[logic] [22:04:24.148] [info] Buffer cleared!
[logic] [22:04:24.148] [info] Update State!
[logic] [22:04:24.194] [info] Buffer cleared!
[logic] [22:04:24.194] [info] Update State!
[logic] [22:04:24.257] [info] Buffer cleared!
[logic] [22:04:24.257] [info] Update State!
[logic] [22:04:24.301] [info] Buffer cleared!
[logic] [22:04:24.301] [info] Update State!
[logic] [22:04:24.348] [info] Buffer cleared!
[logic] [22:04:24.348] [info] Update State!
[logic] [22:04:24.396] [info] Buffer cleared!
[logic] [22:04:24.396] [info] Update State!
[logic] [22:04:24.457] [info] Buffer cleared!
[logic] [22:04:24.457] [info] Update State!
[logic] [22:04:24.504] [info] Buffer cleared!
[logic] [22:04:24.504] [info] Update State!
[logic] [22:04:24.550] [info] Buffer cleared!
[logic] [22:04:24.551] [info] Update State!
[logic] [22:04:24.596] [info] Buffer cleared!
[logic] [22:04:24.597] [info] Update State!
[logic] [22:04:24.645] [info] Buffer cleared!
[logic] [22:04:24.645] [info] Update State!
[logic] [22:04:24.692] [info] Buffer cleared!
[logic] [22:04:24.692] [info] Update State!
